"archiveRelativePath","bytes","sha256"
"payload/deprecated-drafts/card-ui-generated-initial-draft-v0.1.png","2530760","5cc8987ab2a65bef94adc2a20d5c1213434514fbf57c30bcfdea3d6bd0a1dbdd"
"payload/deprecated-drafts/forge-seated-sovereign-v0.4/draft-a-shield-ring-puppet.png","3115614","a89546fcda3ccad2d2f283ea6aa289804ff8a253a1fec2c604b738e6fd70a697"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/codex-syntaxcheck.deps.json","4088","b219a04a42d763e589fba00e5779d6ec7c80068e5559f427eaf78d5f8243700c"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/codex-syntaxcheck.dll","6144","1b9431c7894f96e640ba953df95b5160bf99cd8ad57a56313f0730c70255b5a3"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/codex-syntaxcheck.exe","156160","a4677084e4f59b4fa7590a14ee7636d222d77b7cebcc332d5fb52afac237c002"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/codex-syntaxcheck.pdb","12016","00a85184c88ca619e6a45d54b63cdcaac81f1eb8fa2f9fc3708b585807027da8"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/codex-syntaxcheck.runtimeconfig.json","268","a45057885f807f4a337fdea3ccdfa64e1675d22a6d6a6fc7c7394fd44ba9eebe"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/cs/Microsoft.CodeAnalysis.CSharp.resources.dll","441632","6e891a22f092a9c996e502c18ef31cf12c152fd10a760b415f0fa664326c132d"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/cs/Microsoft.CodeAnalysis.resources.dll","48392","0cc249c45097b07f3587d82541e61941863f46ab726873aa530ef815244876e1"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/de/Microsoft.CodeAnalysis.CSharp.resources.dll","471856","b0bd7a8cf0b43511009f62c859da7c6023715e0062f0bb0eb44bc91a9950512c"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/de/Microsoft.CodeAnalysis.resources.dll","50472","510b9d9c887653d8dc8483cfb5fe2ea148a12c2f30d1149fd1fd70fdbb500486"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/es/Microsoft.CodeAnalysis.CSharp.resources.dll","461584","96a10610559c5994d079e0f586fb126501ec37377c07c18f79284917505c7afe"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/es/Microsoft.CodeAnalysis.resources.dll","49928","bbb82ab79e1e55740b0ddca341488ff8d02a90ddf4b2294c1a2b476171a07101"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/fr/Microsoft.CodeAnalysis.CSharp.resources.dll","473896","b9758f560b7621b2976eaac6374d15cd472102bb5b7b09983a9d9a4f2c1e3a85"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/fr/Microsoft.CodeAnalysis.resources.dll","50440","4791bf870e125c9099e08a0ebce3f9304252e07f15b660692086ffebd4012228"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/it/Microsoft.CodeAnalysis.CSharp.resources.dll","468232","9bdfe16fda5bcc65549aafcacb6515814fe008bc2877b907af47025c5741b599"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/it/Microsoft.CodeAnalysis.resources.dll","50456","b711bf0d281b8d76e205aefe6f9d8ff9fea05acd928498303393f2ef7af6d032"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/ja/Microsoft.CodeAnalysis.CSharp.resources.dll","515368","b94e03631387c17bab76cb18da013559ffdb75ac430836a5be37efd2e4c2e2a4"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/ja/Microsoft.CodeAnalysis.resources.dll","54024","8f93c659a85de56279904d0a92ad302737c3ea160f3a0fd5ac9795e35dc25fd0"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/ko/Microsoft.CodeAnalysis.CSharp.resources.dll","473352","5766376807a0276cbe470cda92204c12f5254a12fe9cd305d0ba13582f27ce55"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/ko/Microsoft.CodeAnalysis.resources.dll","50440","8e3f83f7ec9347f76185967c5d2aafc122a53a60ad19281cbbaf5c89dc614edd"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/Microsoft.CodeAnalysis.CSharp.dll","18356488","ee5abcc38a0c346af19ef19125cd06243601efec721d865c24201bf097fa22a9"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/Microsoft.CodeAnalysis.dll","8145168","0a151d760ba4b58d0df6ad3ae159f78d37d766e8d74a239be470e2fff1322e97"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/pl/Microsoft.CodeAnalysis.CSharp.resources.dll","474400","816dd9e62651e49282f8a53fd8eccd7cf11ab540d38b9d7f73eacf09867fcf2a"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/pl/Microsoft.CodeAnalysis.resources.dll","50440","afe6a31fb0a15e73e1076bfebb7a114f0be524327a6fcba5e42cd7ce944c645b"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/pt-BR/Microsoft.CodeAnalysis.CSharp.resources.dll","453912","24904de51e3c74f29e5b3d4826122d2b5aa92d6cfc0ff61aea00fa4a51ce352a"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/pt-BR/Microsoft.CodeAnalysis.resources.dll","49440","4da44df395f6db666acf5131731d0cfc71206c40e5426d14c27cf6671d55ecd1"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/ru/Microsoft.CodeAnalysis.CSharp.resources.dll","621320","0efcdb0218e0b118dd48bf7fa05ef1caa22057d6f71a27c695a779287130d99c"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/ru/Microsoft.CodeAnalysis.resources.dll","60688","a3ced288a8283fb85bfba4be8da53b3b848c3225848c55e5dee870b4a7594453"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/tr/Microsoft.CodeAnalysis.CSharp.resources.dll","449800","c5ea688cc262da5bd66b940f495a6014304da01957bb57504f180af3f1e4d1f2"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/tr/Microsoft.CodeAnalysis.resources.dll","48912","6d546820090a41b18e7eecfb22e4aeabd9c69fe921ab461076038a17d3c6c4b4"
"payload/generated-check-harnesses/codex-syntaxcheck/bin/Debug/net9.0/zh-Hans/Microsoft.CodeAnalysis.CSharp.resources.dll","401168","6a5bdbd3c12798e44becd7f6e4c06241ce99fabd5f146fc5fd97ea39a4d6474c"
