buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,H,200,174,15,11,0.8975,0.873195,0.951316,0,0.055,2,3,169.84,209.9,2.52,0.085,0,0,0,0,9.825,6.2,5.275,2.745,3,10,0,0
B01_SHIELD,B03_SUMMON,H,200,200,0,0,1,0.981155,1,0,0,1,1,233.39,148.99,4.435,0,0,0,0,3.77,9.13,0,5.745,0,3,8.97,0,0
B01_SHIELD,B04_DEATH,H,200,200,0,0,1,0.981155,1,0,0,1,2,167.14,322.45,3.77,0,0,0,0,0,7.565,0,5.335,0,3,34.12,0,0
B01_SHIELD,B05_SPELL,H,200,199,0,1,0.9975,0.981062,1,0,0.005,2,2,172.56,243.38,3.495,0,0,0,0,0,9.32,2,5.455,0,3,0,0,0
B01_SHIELD,B06_REFRESH,H,200,200,0,0,1,0.981155,1,0,0,2,2,186.03,189.54,3.54,0,0,0,0,0,9.805,5,5.605,0,3,0,0,0
B02_BREAK,B03_SUMMON,H,200,200,0,0,1,0.981155,1,0,0,1,1,276.125,140.65,2.96,0,0,0,0,3.515,5.54,0,2.475,0,9.995,7.9,0,0
B02_BREAK,B04_DEATH,H,200,200,0,0,1,0.981155,1,0,0,1,2,177.485,297.585,2.8,0,0,0,0,0,5.33,0,2.7,0,10,31.37,0,0
B02_BREAK,B05_SPELL,H,200,189,2,9,0.9675,0.962631,0.997124,0,0.045,2,2,202.91,224.25,2.155,0.01,0,0,0,0,6.04,2,2.765,0,10,0,0,0
B02_BREAK,B06_REFRESH,H,200,136,19,45,0.7925,0.81648,0.920103,0,0.225,2,2,224.44,178.39,1.11,0.105,0,0,0,0,6.03,5,2.73,0,9.995,0,0,0
B03_SUMMON,B04_DEATH,H,200,6,174,20,0.08,0.015365,0.070804,0,0.1,1,1,137.96,381.485,0.05,1.19,0,0,4.235,0,0,0,0,0,9.34,34.37,0,0
B03_SUMMON,B05_SPELL,H,200,0,200,0,0,0,0.018845,0,0,1,1,123.51,269.36,0,3.35,0,0,4.625,0,0,2,0,0,9.11,0,0,0
B03_SUMMON,B06_REFRESH,H,200,0,200,0,0,0,0.018845,0,0,1,1,145.03,222.71,0,2.95,0,0,4.1,0,0,4.915,0,0,8.84,0,0,0
B04_DEATH,B05_SPELL,H,200,9,147,44,0.155,0.030646,0.105999,0,0.22,1,2,278.235,192.82,0.045,1.01,0,0,0,0,0,2,0,0,34.54,0,0,0
B04_DEATH,B06_REFRESH,H,200,0,198,2,0.005,0,0.019032,0,0.01,1,2,328.28,155.93,0,2.01,0,0,0,0,0,4.88,0,0,34.45,0,0,0
B05_SPELL,B06_REFRESH,H,200,71,43,86,0.57,0.531202,0.706405,0,0.43,2,2,242.04,178.29,0.375,0.23,0,0,0,0,2,5,0,0,0,0,0,0
